
1749,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
15860,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
16907,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
1360,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
7075,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
585,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
6011,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
11372,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
3426,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
10610,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
10748,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
16578,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
26686,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
22822,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
29929,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
12962,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
39191,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
6759,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
5505,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
744,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
5701,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
2400,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
56300,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
2721,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
2467,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
3026,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
8536,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
825,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
22585,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
6128,0.0,30.0,-50.0,-10.0,1.0,0.0,0.1,0.1
